File Name,,,GIII-LMn-1_06.RCC,GIII-LMn-2_05.RCC,GIII-LMn-3_04.RCC,GIII-LMn-4_07.RCC,GIII-LMn-5_08.RCC,GIII-LMn-6_09.RCC
Description,,,,,,,,
Sample ID,,,GIII-LMn-1,GIII-LMn-2,GIII-LMn-3,GIII-LMn-4,GIII-LMn-5,GIII-LMn-6
Owner,,,,,,,,
Sample Date,,,,,,,,
File Version,,,,,,,,
Gene RLF,,,,,,,,
Comments,,,,,,,,
Lane ID,,,,,,,,

Positive,POS_A,ERCC_00117.1,76931,72310,69384,70739,70218,74785
Positive,POS_B,ERCC_00112.1,22557,21763,20839,20721,20382,22125
Positive,POS_C,ERCC_00002.1,5764,5691,5488,5498,5433,5758
Positive,POS_D,ERCC_00092.1,1608,1485,1456,1399,1424,1478
Positive,POS_E,ERCC_00035.1,308,280,274,296,300,319
Positive,POS_F,ERCC_00034.1,115,123,135,116,138,129
Negative,NEG_A,ERCC_00096.1,34,29,25,25,17,24
Negative,NEG_B,ERCC_00041.1,86,70,89,63,64,66
Negative,NEG_C,ERCC_00019.1,24,46,36,51,56,55
Negative,NEG_D,ERCC_00076.1,29,14,16,22,21,19
Negative,NEG_E,ERCC_00098.1,25,30,26,22,36,31
Negative,NEG_F,ERCC_00126.1,98,96,93,87,99,98
Negative,NEG_G,ERCC_00144.1,60,52,65,53,63,55
Negative,NEG_H,ERCC_00154.1,67,92,72,68,72,61
Ligation,LIG_NEG_A,nmiR00810.1,11,12,9,10,15,15
Ligation,LIG_NEG_B,nmiR00828.1,11,19,9,6,7,5
Ligation,LIG_NEG_C,nmiR00803.1,10,4,7,6,4,10
Ligation,LIG_POS_A,nmiR00813.1,35454,69018,58456,16195,21050,25760
Ligation,LIG_POS_B,nmiR00809.1,5637,11812,9908,3033,4217,5468
Ligation,LIG_POS_C,nmiR00811.1,924,1854,1574,570,697,838
SpikeIn,ath-miR159a,MIMAT0000177,14,8,6,8,20,10
SpikeIn,cel-miR-248,MIMAT0000304,9,12,11,11,6,6
SpikeIn,osa-miR414,MIMAT0001330,3,5,7,4,14,5
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,22,29,27,26,24,31
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,14,11,6,11,17,11
Endogenous,mcmv-miR-M23-2,MIMAT0005545,8,13,7,7,7,8
Endogenous,mcmv-miR-M44-1,MIMAT0005546,9,6,6,6,8,10
Endogenous,mcmv-miR-M55-1,MIMAT0005547,12,11,8,10,8,12
Endogenous,mcmv-miR-M87-1,MIMAT0005550,14,18,10,8,4,10
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,22,19,35,28,17,21
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,2,16,7,5,11,6
Endogenous,mcmv-miR-m01-1,MIMAT0005533,9,21,12,13,20,20
Endogenous,mcmv-miR-m01-2,MIMAT0005534,21,20,23,22,27,24
Endogenous,mcmv-miR-m01-3,MIMAT0005536,13,15,18,12,17,10
Endogenous,mcmv-miR-m01-4,MIMAT0005538,7,10,1,6,5,6
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,13,17,17,10,27,21
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,6,12,10,7,13,10
Endogenous,mcmv-miR-m108-1,MIMAT0005558,24,24,30,21,27,29
