File Name,,,GIV-LMn-1_03.RCC,GIV-LMn-2_02.RCC,GIV-LMn-3_01.RCC,GIV-LMn-4_10.RCC,GIV-LMn-5_11.RCC,GIV-LMn-6_12.RCC
Description,,,,,,,,
Sample ID,,,GIV-LMn-1,GIV-LMn-2,GIV-LMn-3,GIV-LMn-4,GIV-LMn-5,GIV-LMn-6
Owner,,,,,,,,
Sample Date,,,,,,,,
File Version,,,,,,,,
Gene RLF,,,,,,,,
Comments,,,,,,,,
Lane ID,,,,,,,,

Positive,POS_A,ERCC_00117.1,87685,77300,77802,71489,66244,72190
Positive,POS_B,ERCC_00112.1,26079,22588,22830,20711,19406,20553
Positive,POS_C,ERCC_00002.1,6787,6277,5981,5462,5027,5343
Positive,POS_D,ERCC_00092.1,1819,1587,1595,1421,1339,1350
Positive,POS_E,ERCC_00035.1,339,308,304,274,244,256
Positive,POS_F,ERCC_00034.1,143,131,138,104,115,124
Negative,NEG_A,ERCC_00096.1,40,36,22,26,21,17
Negative,NEG_B,ERCC_00041.1,80,83,62,83,75,41
Negative,NEG_C,ERCC_00019.1,48,42,38,50,44,43
Negative,NEG_D,ERCC_00076.1,23,21,11,30,13,22
Negative,NEG_E,ERCC_00098.1,35,22,27,29,26,24
Negative,NEG_F,ERCC_00126.1,116,103,83,98,66,62
Negative,NEG_G,ERCC_00144.1,62,63,48,76,50,34
Negative,NEG_H,ERCC_00154.1,86,78,71,64,78,36
Ligation,LIG_NEG_A,nmiR00810.1,14,19,15,10,9,10
Ligation,LIG_NEG_B,nmiR00828.1,13,8,19,4,7,6
Ligation,LIG_NEG_C,nmiR00803.1,4,9,10,5,7,8
Ligation,LIG_POS_A,nmiR00813.1,5583,68513,40849,25842,34136,22722
Ligation,LIG_POS_B,nmiR00809.1,1011,11433,6934,6012,7905,4901
Ligation,LIG_POS_C,nmiR00811.1,245,1857,1063,688,926,729
SpikeIn,ath-miR159a,MIMAT0000177,11,7,10,15,6,16
SpikeIn,cel-miR-248,MIMAT0000304,6,6,15,11,6,9
SpikeIn,osa-miR414,MIMAT0001330,1,2,6,6,1,7
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,33,22,30,31,20,9
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,12,13,10,10,5,11
Endogenous,mcmv-miR-M23-2,MIMAT0005545,7,11,5,11,13,2
Endogenous,mcmv-miR-M44-1,MIMAT0005546,4,5,14,12,11,6
Endogenous,mcmv-miR-M55-1,MIMAT0005547,18,10,17,12,13,9
Endogenous,mcmv-miR-M87-1,MIMAT0005550,3,8,3,12,10,12
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,31,25,27,26,21,26
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,10,9,6,7,10,9
Endogenous,mcmv-miR-m01-1,MIMAT0005533,20,15,17,22,25,16
Endogenous,mcmv-miR-m01-2,MIMAT0005534,28,20,22,18,19,13
Endogenous,mcmv-miR-m01-3,MIMAT0005536,13,14,10,16,10,12
Endogenous,mcmv-miR-m01-4,MIMAT0005538,8,9,11,11,6,6
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,21,14,15,13,12,11
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,10,7,14,13,7,9
Endogenous,mcmv-miR-m108-1,MIMAT0005558,29,23,20,34,27,12
Endogenous,mcmv-miR-m108-2-3p,MIMAT0005561,4,11,5,6,1,4
Endogenous,mcmv-miR-m108-2-5p.1,MIMAT0005560,18,19,17,7,18,17
Endogenous,mcmv-miR-m108-2-5p.2,MIMAT0005559,12,13,20,29,18,22
Endogenous,mcmv-miR-m21-1,MIMAT0005540,33,21,17,23,13,12
Endogenous,mcmv-miR-m22-1,MIMAT0005541,4,3,9,7,5,5
Endogenous,mcmv-miR-m59-1,MIMAT0005548,7,14,8,6,8,7
Endogenous,mcmv-miR-m59-2,MIMAT0005549,14,17,15,17,22,12
Endogenous,mcmv-miR-m88-1,MIMAT0005552,18,21,12,15,13,10
Endogenous,mghv-miR-M1-1,MIMAT0001564,14,11,20,18,17,10
Endogenous,mghv-miR-M1-2,MIMAT0001565,15,12,17,17,8,10
Endogenous,mghv-miR-M1-3,MIMAT0001566,8,10,8,12,13,7
Endogenous,mghv-miR-M1-4,MIMAT0001567,24,27,24,27,19,15
Endogenous,mghv-miR-M1-5,MIMAT0001568,17,16,16,22,14,11
Endogenous,mghv-miR-M1-6,MIMAT0001569,18,11,8,6,6,3
Endogenous,mghv-miR-M1-7-3p,MIMAT0001571,29,14,16,21,21,13
Endogenous,mghv-miR-M1-7-5p,MIMAT0001570,8,18,11,18,12,19
Endogenous,mghv-miR-M1-8,MIMAT0001572,23,18,21,9,9,14
Endogenous,mghv-miR-M1-9,MIMAT0001573,7,4,8,4,6,14
