File Name,,,GI-LMn-1_12.RCC,GI-LMn-2_11.RCC,GI-LMn-3_10.RCC,GI-LMn-4_01.RCC,GI-LMn-5_02.RCC,GI-LMn-6_03.RCC
Description,,,,,,,,
Sample ID,,,GI-LMn-1,GI-LMn-2,GI-LMn-3,GI-LMn-4,GI-LMn-5,GI-LMn-6
Owner,,,,,,,,
Sample Date,,,,,,,,
File Version,,,,,,,,
Gene RLF,,,,,,,,
Comments,,,,,,,,
Lane ID,,,,,,,,

Positive,POS_A,ERCC_00117.1,79480,75795,70188,81546,82635,75625
Positive,POS_B,ERCC_00112.1,23185,22014,20744,23116,23831,21985
Positive,POS_C,ERCC_00002.1,6348,5874,5430,5893,6132,5536
Positive,POS_D,ERCC_00092.1,1581,1588,1346,1650,1604,1414
Positive,POS_E,ERCC_00035.1,327,287,324,327,319,288
Positive,POS_F,ERCC_00034.1,134,128,109,148,140,136
Negative,NEG_A,ERCC_00096.1,30,28,28,26,32,19
Negative,NEG_B,ERCC_00041.1,78,65,84,45,61,82
Negative,NEG_C,ERCC_00019.1,42,51,60,38,43,57
Negative,NEG_D,ERCC_00076.1,25,21,31,11,11,23
Negative,NEG_E,ERCC_00098.1,33,26,35,32,30,34
Negative,NEG_F,ERCC_00126.1,92,92,104,69,83,75
Negative,NEG_G,ERCC_00144.1,54,58,59,36,37,66
Negative,NEG_H,ERCC_00154.1,70,62,99,58,68,68
Ligation,LIG_NEG_A,nmiR00810.1,10,14,15,14,5,9
Ligation,LIG_NEG_B,nmiR00828.1,13,11,14,6,5,6
Ligation,LIG_NEG_C,nmiR00803.1,7,7,6,6,4,10
Ligation,LIG_POS_A,nmiR00813.1,43361,49386,47890,9934,4584,24680
Ligation,LIG_POS_B,nmiR00809.1,6882,7721,8223,1953,925,4406
Ligation,LIG_POS_C,nmiR00811.1,1065,1203,1368,421,262,869
SpikeIn,ath-miR159a,MIMAT0000177,9,16,13,11,14,14
SpikeIn,cel-miR-248,MIMAT0000304,16,12,17,8,8,10
SpikeIn,osa-miR414,MIMAT0001330,5,14,4,8,6,3
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,20,23,30,18,22,23
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,13,16,14,16,14,10
Endogenous,mcmv-miR-M23-2,MIMAT0005545,8,10,8,11,11,8
Endogenous,mcmv-miR-M44-1,MIMAT0005546,7,13,9,11,9,3
Endogenous,mcmv-miR-M55-1,MIMAT0005547,11,11,16,16,11,15
Endogenous,mcmv-miR-M87-1,MIMAT0005550,15,6,10,5,9,6
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,35,30,29,24,33,19
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,7,5,9,8,7,5
Endogenous,mcmv-miR-m01-1,MIMAT0005533,19,12,28,31,13,12
Endogenous,mcmv-miR-m01-2,MIMAT0005534,28,22,21,42,18,15
Endogenous,mcmv-miR-m01-3,MIMAT0005536,7,13,17,10,10,9
Endogenous,mcmv-miR-m01-4,MIMAT0005538,5,6,8,12,3,5
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,16,22,23,16,13,15
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,15,8,8,15,10,8
Endogenous,mcmv-miR-m108-1,MIMAT0005558,20,18,27,20,22,29
Endogenous,mcmv-miR-m108-2-3p,MIMAT0005561,6,2,4,5,6,7
Endogenous,mcmv-miR-m108-2-5p.1,MIMAT0005560,27,19,14,16,12,20
Endogenous,mcmv-miR-m108-2-5p.2,MIMAT0005559,23,23,17,23,25,14
Endogenous,mcmv-miR-m21-1,MIMAT0005540,12,21,22,17,15,20
Endogenous,mcmv-miR-m22-1,MIMAT0005541,8,3,11,8,5,8
Endogenous,mcmv-miR-m59-1,MIMAT0005548,5,13,8,11,4,3
Endogenous,mcmv-miR-m59-2,MIMAT0005549,33,15,16,14,15,17
Endogenous,mcmv-miR-m88-1,MIMAT0005552,18,27,16,15,19,15
Endogenous,mghv-miR-M1-1,MIMAT0001564,22,14,14,26,19,14
Endogenous,mghv-miR-M1-2,MIMAT0001565,21,13,14,12,19,8
Endogenous,mghv-miR-M1-3,MIMAT0001566,19,13,22,9,16,12
Endogenous,mghv-miR-M1-4,MIMAT0001567,32,21,36,20,20,16
Endogenous,mghv-miR-M1-5,MIMAT0001568,20,15,23,11,20,16
Endogenous,mghv-miR-M1-6,MIMAT0001569,9,10,7,24,11,8
Endogenous,mghv-miR-M1-7-3p,MIMAT0001571,24,22,21,22,14,10
Endogenous,mghv-miR-M1-7-5p,MIMAT0001570,11,8,9,29,10,15
Endogenous,mghv-miR-M1-8,MIMAT0001572,15,24,17,17,12,16
Endogenous,mghv-miR-M1-9,MIMAT0001573,11,5,5,44,18,5
Endogenous,mmu-let-7a,MIMAT0000521,11653,8946,12466,2733,914,4855
Endogenous,mmu-let-7b,MIMAT0000522,18968,13826,18613,8863,4044,15947
Endogenous,mmu-let-7c,MIMAT0000523,9200,6445,8650,5173,2379,7598
Endogenous,mmu-let-7d,MIMAT0000383,22109,20165,27010,6726,4024,14451
Endogenous,mmu-let-7e,MIMAT0000524,2033,1390,2094,537,272,1410
Endogenous,mmu-let-7f,MIMAT0000525,2762,2391,2361,2564,1285,2686
Endogenous,mmu-let-7g,MIMAT0000121,22880,21546,27611,8797,5047,14129
Endogenous,mmu-let-7i,MIMAT0000122,12011,10577,14438,4680,2524,8127
Endogenous,mmu-miR-1,MIMAT0000123,27994,63543,78098,21854,5405,4414
Endogenous,mmu-miR-100,MIMAT0000655,1532,1425,1735,876,396,1347
Endogenous,mmu-miR-101a,MIMAT0000133,80,87,59,146,62,139
Endogenous,mmu-miR-101b,MIMAT0000616,110,102,93,113,76,96
Endogenous,mmu-miR-103,MIMAT0000546,415,399,366,122,88,298
Endogenous,mmu-miR-105,MIMAT0004856,14,12,14,5,12,19
Endogenous,mmu-miR-106a+mmu-miR-17,MIMAT0000385,2114,1620,1650,617,398,1073
Endogenous,mmu-miR-106b,MIMAT0000386,397,350,321,134,85,272
Endogenous,mmu-miR-107,MIMAT0000647,145,134,102,109,41,86
Endogenous,mmu-miR-10a,MIMAT0000648,72,66,71,40,24,75
Endogenous,mmu-miR-10b,MIMAT0000208,504,362,241,111,83,319
Endogenous,mmu-miR-1186,MIMAT0005836,14,6,11,11,13,13
Endogenous,mmu-miR-1186b,MIMAT0015644,15,13,15,20,15,15
Endogenous,mmu-miR-1187,MIMAT0005837,33,36,38,33,39,27
Endogenous,mmu-miR-1188,MIMAT0005843,13,15,13,10,9,14
Endogenous,mmu-miR-1190,MIMAT0005847,14,17,12,12,10,11
Endogenous,mmu-miR-1191,MIMAT0005849,7,13,7,39,26,7
Endogenous,mmu-miR-1192,MIMAT0005850,13,13,10,19,10,14
Endogenous,mmu-miR-1193,MIMAT0005851,25,21,21,17,15,17
Endogenous,mmu-miR-1194,MIMAT0005852,16,12,21,11,15,13
Endogenous,mmu-miR-1195,MIMAT0005856,11,8,12,8,17,9
Endogenous,mmu-miR-1196,MIMAT0005857,34,63,28,35,25,28
Endogenous,mmu-miR-1197,MIMAT0005858,12,9,10,11,16,10
Endogenous,mmu-miR-1198,MIMAT0005859,139,143,156,101,45,128
Endogenous,mmu-miR-1199,MIMAT0005860,9,5,7,5,9,9
Endogenous,mmu-miR-122,MIMAT0000246,18,15,14,8,10,14
Endogenous,mmu-miR-1224,MIMAT0005460,849,1144,800,221,117,773
Endogenous,mmu-miR-124,MIMAT0000134,69,93,85,47,26,62
Endogenous,mmu-miR-125a-3p,MIMAT0004528,77,40,56,66,39,49
Endogenous,mmu-miR-125a-5p,MIMAT0000135,4815,3475,6068,2089,1170,3729
Endogenous,mmu-miR-125b-3p,MIMAT0004669,109,93,148,64,39,80
Endogenous,mmu-miR-125b-5p,MIMAT0000136,18115,16759,24238,9145,5854,13086
Endogenous,mmu-miR-126-3p,MIMAT0000138,35522,35765,33179,11234,5953,28306
Endogenous,mmu-miR-126-5p,MIMAT0000137,1280,1268,1196,1892,676,1338
Endogenous,mmu-miR-127,MIMAT0000139,45,38,55,44,16,42
Endogenous,mmu-miR-1274a,MIMAT0009445,90,109,96,145,93,63
Endogenous,mmu-miR-128,MIMAT0000140,74,67,93,42,29,56
Endogenous,mmu-miR-129-3p,MIMAT0000544,11,18,17,21,25,18
Endogenous,mmu-miR-129-5p,MIMAT0000209,17,8,20,15,16,9
Endogenous,mmu-miR-1306,MIMAT0009411,22,14,12,17,16,11
Endogenous,mmu-miR-130a,MIMAT0000141,1082,1064,975,432,277,751
Endogenous,mmu-miR-130b,MIMAT0000387,88,64,95,61,30,64
Endogenous,mmu-miR-132,MIMAT0000144,472,341,494,156,81,236
Endogenous,mmu-miR-133a,MIMAT0000145,12084,19647,21318,4825,2648,11645
Endogenous,mmu-miR-133b,MIMAT0000769,242,363,353,220,63,269
Endogenous,mmu-miR-134,MIMAT0000146,41,28,27,9,14,24
Endogenous,mmu-miR-135a,MIMAT0000147,125,131,131,67,68,74
Endogenous,mmu-miR-135b,MIMAT0000612,14,24,26,27,22,14
Endogenous,mmu-miR-136,MIMAT0000148,1397,1333,1265,957,741,971
Endogenous,mmu-miR-137,MIMAT0000149,8,7,12,12,7,14
Endogenous,mmu-miR-138,MIMAT0000150,44,54,50,38,16,42
Endogenous,mmu-miR-139-3p,MIMAT0004662,6,9,8,6,4,5
Endogenous,mmu-miR-139-5p,MIMAT0000656,147,176,192,71,36,166
Endogenous,mmu-miR-140,MIMAT0000151,415,467,738,395,179,447
Endogenous,mmu-miR-141,MIMAT0000153,746,574,453,222,131,494
Endogenous,mmu-miR-142-3p,MIMAT0000155,1279,1303,2169,1265,664,1344
Endogenous,mmu-miR-142-5p,MIMAT0000154,369,438,462,300,336,374
Endogenous,mmu-miR-143,MIMAT0000247,1356,2020,1377,386,343,926
Endogenous,mmu-miR-144,MIMAT0000156,720,1217,1025,731,274,1193
Endogenous,mmu-miR-145,MIMAT0000157,2360,3088,2853,2313,956,2951
Endogenous,mmu-miR-146a,MIMAT0000158,754,604,764,392,220,786
Endogenous,mmu-miR-146b,MIMAT0003475,22,27,33,41,20,19
Endogenous,mmu-miR-147,MIMAT0004857,9,8,4,8,6,10
Endogenous,mmu-miR-148a,MIMAT0000516,9727,8606,19111,2462,1875,4786
Endogenous,mmu-miR-148b,MIMAT0000580,427,388,475,217,121,294
Endogenous,mmu-miR-149,MIMAT0000159,371,461,716,116,92,154
Endogenous,mmu-miR-150,MIMAT0000160,1521,1777,1853,594,444,1522
Endogenous,mmu-miR-151-3p,MIMAT0000161,56,56,63,28,13,46
Endogenous,mmu-miR-151-5p,MIMAT0004536,1740,1713,2391,392,264,1054
Endogenous,mmu-miR-152,MIMAT0000162,1028,1042,1442,602,364,681
Endogenous,mmu-miR-153,MIMAT0000163,5,4,8,7,3,6
Endogenous,mmu-miR-154,MIMAT0000164,40,33,34,23,20,33
Endogenous,mmu-miR-155,MIMAT0000165,1,1,1,1,1,1
Endogenous,mmu-miR-15a,MIMAT0000526,5497,4479,5312,2397,1480,3847
Endogenous,mmu-miR-15b,MIMAT0000124,3949,2795,3643,1257,653,2730
Endogenous,mmu-miR-16,MIMAT0000527,9787,11568,10782,4223,2326,6897
Endogenous,mmu-miR-181a,MIMAT0000210,7776,5481,13600,3279,1484,5867
