File Name,,,GII-LMn-1_09.RCC,GII-LMn-2_08.RCC,GII-LMn-3_07.RCC,GII-LMn-4_04.RCC,GII-LMn-5_05.RCC,GII-LMn-6_06.RCC
Description,,,,,,,,
Sample ID,,,GII-LMn-1,GII-LMn-2,GII-LMn-3,GII-LMn-4,GII-LMn-5,GII-LMn-6
Owner,,,,,,,,
Sample Date,,,,,,,,
File Version,,,,,,,,
Gene RLF,,,,,,,,
Comments,,,,,,,,
Lane ID,,,,,,,,

Positive,POS_A,ERCC_00117.1,70147,79184,77309,76463,81459,82469
Positive,POS_B,ERCC_00112.1,20557,23020,22644,22599,23234,23735
Positive,POS_C,ERCC_00002.1,5759,6150,5993,5724,6103,6088
Positive,POS_D,ERCC_00092.1,1495,1592,1495,1549,1612,1543
Positive,POS_E,ERCC_00035.1,310,286,319,333,328,337
Positive,POS_F,ERCC_00034.1,126,133,128,147,132,129
Negative,NEG_A,ERCC_00096.1,27,24,18,19,28,29
Negative,NEG_B,ERCC_00041.1,90,64,76,87,70,85
Negative,NEG_C,ERCC_00019.1,52,44,49,66,43,46
Negative,NEG_D,ERCC_00076.1,23,18,32,25,16,17
Negative,NEG_E,ERCC_00098.1,37,28,19,34,34,29
Negative,NEG_F,ERCC_00126.1,126,72,85,117,93,98
Negative,NEG_G,ERCC_00144.1,96,45,41,66,71,47
Negative,NEG_H,ERCC_00154.1,102,78,65,99,84,79
Ligation,LIG_NEG_A,nmiR00810.1,12,20,16,11,11,17
Ligation,LIG_NEG_B,nmiR00828.1,14,15,7,4,5,7
Ligation,LIG_NEG_C,nmiR00803.1,3,8,6,8,5,3
Ligation,LIG_POS_A,nmiR00813.1,46954,27331,30871,24080,21112,19975
Ligation,LIG_POS_B,nmiR00809.1,7647,4593,5394,4310,3679,4093
Ligation,LIG_POS_C,nmiR00811.1,1259,668,730,983,772,517
SpikeIn,ath-miR159a,MIMAT0000177,8,9,12,17,15,8
SpikeIn,cel-miR-248,MIMAT0000304,6,8,6,6,8,6
SpikeIn,osa-miR414,MIMAT0001330,6,6,5,11,9,5
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,34,16,26,28,25,19
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,6,10,12,10,14,9
Endogenous,mcmv-miR-M23-2,MIMAT0005545,9,4,10,9,8,7
Endogenous,mcmv-miR-M44-1,MIMAT0005546,9,6,11,7,6,11
Endogenous,mcmv-miR-M55-1,MIMAT0005547,19,14,6,18,13,13
Endogenous,mcmv-miR-M87-1,MIMAT0005550,13,6,15,12,11,8
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,29,18,29,23,21,17
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,19,6,6,7,3,12
Endogenous,mcmv-miR-m01-1,MIMAT0005533,23,28,21,18,10,20
Endogenous,mcmv-miR-m01-2,MIMAT0005534,34,20,21,26,32,30
Endogenous,mcmv-miR-m01-3,MIMAT0005536,14,5,20,16,14,19
Endogenous,mcmv-miR-m01-4,MIMAT0005538,8,15,7,6,8,4
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,27,14,17,17,20,9
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,10,11,10,10,9,18
Endogenous,mcmv-miR-m108-1,MIMAT0005558,36,21,27,37,33,25
Endogenous,mcmv-miR-m108-2-3p,MIMAT0005561,9,7,8,4,10,1
Endogenous,mcmv-miR-m108-2-5p.1,MIMAT0005560,18,14,12,22,17,13
Endogenous,mcmv-miR-m108-2-5p.2,MIMAT0005559,19,25,25,14,17,15
Endogenous,mcmv-miR-m21-1,MIMAT0005540,31,17,21,21,22,16
Endogenous,mcmv-miR-m22-1,MIMAT0005541,8,5,8,10,3,5
Endogenous,mcmv-miR-m59-1,MIMAT0005548,10,14,11,8,5,12
Endogenous,mcmv-miR-m59-2,MIMAT0005549,11,19,20,17,13,17
Endogenous,mcmv-miR-m88-1,MIMAT0005552,27,20,20,16,7,17
Endogenous,mghv-miR-M1-1,MIMAT0001564,17,14,13,23,12,24
Endogenous,mghv-miR-M1-2,MIMAT0001565,16,15,15,10,16,15
Endogenous,mghv-miR-M1-3,MIMAT0001566,19,17,10,20,12,17
Endogenous,mghv-miR-M1-4,MIMAT0001567,35,34,32,24,26,20
Endogenous,mghv-miR-M1-5,MIMAT0001568,29,9,14,17,19,21
Endogenous,mghv-miR-M1-6,MIMAT0001569,11,7,7,8,5,9
Endogenous,mghv-miR-M1-7-3p,MIMAT0001571,20,20,15,21,22,22
Endogenous,mghv-miR-M1-7-5p,MIMAT0001570,19,15,10,21,17,11
Endogenous,mghv-miR-M1-8,MIMAT0001572,21,11,14,13,25,11
Endogenous,mghv-miR-M1-9,MIMAT0001573,3,2,10,12,11,3
Endogenous,mmu-let-7a,MIMAT0000521,15404,9892,14595,10672,4555,5766
Endogenous,mmu-let-7b,MIMAT0000522,23110,13097,16324,21576,14509,20257
Endogenous,mmu-let-7c,MIMAT0000523,10793,6672,10809,12363,6990,9050
Endogenous,mmu-let-7d,MIMAT0000383,32550,20211,17752,20870,15391,17658
Endogenous,mmu-let-7e,MIMAT0000524,2593,1276,1630,2212,1371,1614
Endogenous,mmu-let-7f,MIMAT0000525,2746,2863,3965,2717,2631,4115
Endogenous,mmu-let-7g,MIMAT0000121,31313,18682,18404,20532,12912,15612
Endogenous,mmu-let-7i,MIMAT0000122,16075,9501,9532,11754,8009,9886
Endogenous,mmu-miR-1,MIMAT0000123,76816,53426,32643,13200,6464,5773
Endogenous,mmu-miR-100,MIMAT0000655,2304,1393,1387,1817,1311,1489
Endogenous,mmu-miR-101a,MIMAT0000133,71,98,132,95,132,157
Endogenous,mmu-miR-101b,MIMAT0000616,101,55,84,114,108,136
Endogenous,mmu-miR-103,MIMAT0000546,472,363,458,428,298,249
Endogenous,mmu-miR-105,MIMAT0004856,18,15,10,10,13,19
Endogenous,mmu-miR-106a+mmu-miR-17,MIMAT0000385,1999,1243,1158,1463,1080,979
