File Name,,,20220815_run2_GI-16W-1_09.RCC,20220815_run2_GI-16W-2_10.RCC,20220815_run2_GI-16W-3_11.RCC,20220815_run2_GI-16W-4_12.RCC,20220816_run3_GI-16W-10_06.RCC,20220816_run3_GI-16W-5_01.RCC,20220816_run3_GI-16W-6_02.RCC,20220816_run3_GI-16W-7_03.RCC,20220816_run3_GI-16W-8_04.RCC,20220816_run3_GI-16W-9_05.RCC
Description,,,,,,,,,,,,
Sample ID,,,GI-16W-1,GI-16W-2,GI-16W-3,GI-16W-4,GI-16W-10,GI-16W-5,GI-16W-6,GI-16W-7,GI-16W-8,GI-16W-9
Owner,,,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai
Sample Date,,,8/15/2022,8/15/2022,8/15/2022,8/15/2022,8/16/2022,8/16/2022,8/16/2022,8/16/2022,8/16/2022,8/16/2022
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Gene RLF,,,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5
Comments,,,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA
Lane ID,,,9,10,11,12,6,1,2,3,4,5
FOV Count,,,555,555,555,555,555,555,555,555,555,555
FOV Counted,,,530,553,547,550,553,538,547,550,553,548
Scanner ID,,,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464
Stage Position,,,1,1,1,1,1,1,1,1,1,1
Binding Density,,,0.68,0.83,0.62,0.68,0.82,0.6,0.54,0.45,0.51,0.85
Messages,,,,,,,,,,,,
Positive,POS_A,ERCC_00117.1,34293,34896,37739,39623,39737,48894,46330,46324,51846,38296
Positive,POS_B,ERCC_00112.1,18099,18594,19566,19664,19756,23210,22423,23255,25089,19109
Positive,POS_C,ERCC_00002.1,4365,4458,4716,4761,4719,5508,5272,5527,5858,4473
Positive,POS_D,ERCC_00092.1,813,792,870,890,933,1105,1082,1119,1029,902
Positive,POS_E,ERCC_00035.1,209,227,215,209,208,246,284,246,259,222
Positive,POS_F,ERCC_00034.1,106,117,115,103,101,112,102,130,147,114
Negative,NEG_A,ERCC_00096.1,31,37,29,42,37,28,25,24,20,26
Negative,NEG_B,ERCC_00041.1,76,106,91,67,80,64,102,81,61,73
Negative,NEG_C,ERCC_00019.1,100,96,105,67,89,83,74,80,118,85
Negative,NEG_D,ERCC_00076.1,19,27,26,30,27,27,33,19,18,23
Negative,NEG_E,ERCC_00098.1,27,24,22,34,27,25,27,34,30,23
Negative,NEG_F,ERCC_00126.1,91,117,79,80,85,95,119,116,102,92
Negative,NEG_G,ERCC_00144.1,56,58,56,43,34,38,60,49,41,43
Negative,NEG_H,ERCC_00154.1,58,77,62,67,65,55,69,52,69,56
Ligation,LIG_NEG_A,nmiR00810.1,99,130,112,97,107,100,137,116,91,85
Ligation,LIG_NEG_B,nmiR00828.1,52,58,49,47,42,44,41,24,37,58
Ligation,LIG_NEG_C,nmiR00803.1,26,22,21,29,24,23,24,8,5,26
Ligation,LIG_POS_A,nmiR00813.1,23959,26859,22098,18475,30174,27608,12296,15593,18266,23830
Ligation,LIG_POS_B,nmiR00809.1,3581,3851,3699,3187,5307,4508,2126,2182,2496,4104
Ligation,LIG_POS_C,nmiR00811.1,741,815,681,510,901,935,447,634,712,632
SpikeIn,ath-miR159a,MIMAT0000177,18,21,23,13,27,25,30,24,18,21
SpikeIn,cel-miR-248,MIMAT0000304,23,41,23,28,38,21,12,17,16,22
SpikeIn,osa-miR414,MIMAT0001330,35,30,29,30,45,36,38,16,34,35
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,114,138,104,112,113,114,138,142,111,116
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,97,110,80,80,105,96,89,85,86,84
Endogenous,mcmv-miR-M23-2,MIMAT0005545,36,18,30,18,26,24,17,21,23,23
Endogenous,mcmv-miR-M44-1,MIMAT0005546,31,42,28,34,35,37,35,24,22,40
Endogenous,mcmv-miR-M55-1,MIMAT0005547,81,67,68,58,71,72,100,78,64,60
Endogenous,mcmv-miR-M87-1,MIMAT0005550,38,55,26,47,47,45,28,23,34,43
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,43,51,62,49,40,58,46,47,38,42
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,22,21,25,26,31,25,29,24,20,21
Endogenous,mcmv-miR-m01-1,MIMAT0005533,118,108,92,88,92,72,110,116,78,103
Endogenous,mcmv-miR-m01-2,MIMAT0005534,116,123,79,103,93,87,131,116,81,89
Endogenous,mcmv-miR-m01-3,MIMAT0005536,100,100,92,87,89,75,101,93,75,65
Endogenous,mcmv-miR-m01-4,MIMAT0005538,28,26,25,33,30,35,23,33,25,28
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,119,139,104,119,121,107,124,129,110,94
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,104,115,96,99,110,88,110,124,99,84
Endogenous,mcmv-miR-m108-1,MIMAT0005558,126,142,95,107,119,95,115,119,104,114
Endogenous,mcmv-miR-m108-2-3p,MIMAT0005561,24,36,24,32,18,25,16,32,20,24
Endogenous,mcmv-miR-m108-2-5p.1,MIMAT0005560,97,118,113,104,86,94,135,107,101,98
Endogenous,mcmv-miR-m108-2-5p.2,MIMAT0005559,28,40,33,33,26,28,18,25,27,22
Endogenous,mcmv-miR-m21-1,MIMAT0005540,116,138,96,81,74,77,110,108,74,76
Endogenous,mcmv-miR-m22-1,MIMAT0005541,39,49,44,30,39,26,30,34,44,36
Endogenous,mcmv-miR-m59-1,MIMAT0005548,28,26,24,24,29,29,22,15,21,28
Endogenous,mcmv-miR-m59-2,MIMAT0005549,101,113,94,71,79,95,108,101,90,99
Endogenous,mcmv-miR-m88-1,MIMAT0005552,91,124,101,115,107,99,119,97,76,85
Endogenous,mghv-miR-M1-1,MIMAT0001564,93,96,74,77,73,82,95,82,69,85
Endogenous,mghv-miR-M1-2,MIMAT0001565,110,115,106,92,112,131,120,114,60,94
Endogenous,mghv-miR-M1-3,MIMAT0001566,87,86,79,82,72,78,97,92,58,64
Endogenous,mghv-miR-M1-4,MIMAT0001567,134,151,118,106,105,124,123,113,101,106
Endogenous,mghv-miR-M1-5,MIMAT0001568,109,120,99,98,117,129,117,115,111,86
Endogenous,mghv-miR-M1-6,MIMAT0001569,19,33,29,29,17,26,18,24,19,21
Endogenous,mghv-miR-M1-7-3p,MIMAT0001571,122,112,94,90,102,99,118,86,82,104
Endogenous,mghv-miR-M1-7-5p,MIMAT0001570,100,122,99,96,101,97,108,94,100,90
Endogenous,mghv-miR-M1-8,MIMAT0001572,127,133,108,124,102,113,136,131,111,93
Endogenous,mghv-miR-M1-9,MIMAT0001573,29,26,20,24,20,15,17,26,13,23
Endogenous,mmu-let-7a,MIMAT0000521,19376,30083,21787,19795,31745,14140,10185,5629,6945,23125
Endogenous,mmu-let-7b,MIMAT0000522,15662,21448,18067,15025,21554,16089,13811,10226,9709,18472
Endogenous,mmu-let-7c,MIMAT0000523,13533,19773,15127,12430,25220,12587,8863,5991,4858,16801
Endogenous,mmu-let-7d,MIMAT0000383,11481,18328,12272,14401,16481,11249,11797,7706,8710,15195
