File Name,,,20220819_run6_GIII-16W-10_10.RCC,20220819_run6_GIII-16W-1_01.RCC,20220819_run6_GIII-16W-2_02.RCC,20220819_run6_GIII-16W-3_03.RCC,20220819_run6_GIII-16W-4_04.RCC,20220819_run6_GIII-16W-5_05.RCC,20220819_run6_GIII-16W-6_06.RCC,20220819_run6_GIII-16W-7_07.RCC,20220819_run6_GIII-16W-8_08.RCC,20220819_run6_GIII-16W-9_09.RCC,,
Description,,,,,,,,,,,,,,
Sample ID,,,GIII-16W-10,GIII-16W-1,GIII-16W-2,GIII-16W-3,GIII-16W-4,GIII-16W-5,GIII-16W-6,GIII-16W-7,GIII-16W-8,GIII-16W-9,,
Owner,,,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,Aravindraja Chairmandurai,,
Sample Date,,,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,8/19/2022,,
File Version,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,
Gene RLF,,,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,NS_M_MIR_V1.5,,
Comments,,,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,Left Mandibles-miRNA,,
Lane ID,,,10,1,2,3,4,5,6,7,8,9,,
FOV Count,,,555,555,555,555,555,555,555,555,555,555,,
FOV Counted,,,545,545,552,555,549,550,550,549,545,548,,
Scanner ID,,,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,1706C0464,,
Stage Position,,,1,1,1,1,1,1,1,1,1,1,,
Binding Density,,,0.71,0.59,0.59,0.42,0.69,0.61,0.57,0.58,0.65,0.81,,
Messages,,,,,,,,,,,,,,
Positive,POS_A,ERCC_00117.1,38822,45177,45152,32828,38569,45663,41150,39785,38692,38729,,
Positive,POS_B,ERCC_00112.1,20008,21383,21810,15639,18159,22570,20510,19742,19121,19851,,
Positive,POS_C,ERCC_00002.1,4680,5062,5266,3393,4344,5338,4759,4585,4513,4761,,
Positive,POS_D,ERCC_00092.1,895,966,957,714,883,974,955,912,825,913,,
Positive,POS_E,ERCC_00035.1,202,200,256,143,185,269,167,206,218,226,,
Positive,POS_F,ERCC_00034.1,109,121,145,74,89,145,133,119,129,107,,
Negative,NEG_A,ERCC_00096.1,43,32,28,13,23,29,29,24,43,51,,
Negative,NEG_B,ERCC_00041.1,84,89,60,31,71,77,65,66,70,84,,
Negative,NEG_C,ERCC_00019.1,112,91,92,53,89,105,57,98,129,114,,
Negative,NEG_D,ERCC_00076.1,25,19,26,13,26,31,20,29,20,31,,
Negative,NEG_E,ERCC_00098.1,38,22,32,16,13,20,25,25,26,26,,
Negative,NEG_F,ERCC_00126.1,115,95,93,48,90,98,84,80,109,110,,
Negative,NEG_G,ERCC_00144.1,43,37,30,15,39,39,34,49,46,53,,
Negative,NEG_H,ERCC_00154.1,61,57,47,30,58,48,59,67,71,67,,
Ligation,LIG_NEG_A,nmiR00810.1,101,98,119,49,104,89,92,101,92,127,,
Ligation,LIG_NEG_B,nmiR00828.1,44,34,49,32,31,38,34,38,31,82,,
Ligation,LIG_NEG_C,nmiR00803.1,26,16,20,9,14,11,15,26,20,30,,
Ligation,LIG_POS_A,nmiR00813.1,24598,22759,22111,17103,28439,21756,16120,22713,23794,26103,,
Ligation,LIG_POS_B,nmiR00809.1,3821,4123,3355,2600,4294,3353,2373,3654,3901,4421,,
Ligation,LIG_POS_C,nmiR00811.1,722,671,772,471,806,715,573,679,682,715,,
SpikeIn,ath-miR159a,MIMAT0000177,28,29,26,14,18,23,19,22,17,24,,
SpikeIn,cel-miR-248,MIMAT0000304,26,29,24,15,30,26,23,17,21,31,,
SpikeIn,osa-miR414,MIMAT0001330,29,39,39,14,39,31,43,38,39,35,,
Endogenous,mcmv-miR-M23-1-3p,MIMAT0005543,131,107,117,59,90,108,92,114,122,125,,
Endogenous,mcmv-miR-M23-1-5p,MIMAT0005542,114,83,77,29,101,85,93,97,95,108,,
Endogenous,mcmv-miR-M23-2,MIMAT0005545,20,30,27,7,21,27,19,30,17,32,,
Endogenous,mcmv-miR-M44-1,MIMAT0005546,32,24,25,25,33,30,28,28,25,41,,
Endogenous,mcmv-miR-M55-1,MIMAT0005547,78,62,50,38,86,53,82,69,81,82,,
Endogenous,mcmv-miR-M87-1,MIMAT0005550,56,33,38,19,38,30,38,30,38,53,,
Endogenous,mcmv-miR-M95-1-3p,MIMAT0005554,50,53,43,44,33,41,37,47,43,49,,
Endogenous,mcmv-miR-M95-1-5p,MIMAT0005553,27,23,25,13,19,25,17,22,15,23,,
Endogenous,mcmv-miR-m01-1,MIMAT0005533,90,79,85,31,94,81,88,102,70,98,,
Endogenous,mcmv-miR-m01-2,MIMAT0005534,114,80,84,39,104,83,77,83,106,97,,
Endogenous,mcmv-miR-m01-3,MIMAT0005536,88,57,63,31,70,60,77,65,69,104,,
Endogenous,mcmv-miR-m01-4,MIMAT0005538,26,35,25,13,22,30,25,24,21,25,,
Endogenous,mcmv-miR-m107-1-3p,MIMAT0005556,137,99,106,55,126,101,98,108,122,124,,
Endogenous,mcmv-miR-m107-1-5p,MIMAT0005555,111,100,104,43,92,103,90,92,102,106,,
Endogenous,mcmv-miR-m108-1,MIMAT0005558,113,94,92,49,107,94,98,110,112,119,,
Endogenous,mcmv-miR-m108-2-3p,MIMAT0005561,25,23,20,20,16,24,21,22,16,17,,
Endogenous,mcmv-miR-m108-2-5p.1,MIMAT0005560,101,82,91,36,103,91,86,98,98,115,,
Endogenous,mcmv-miR-m108-2-5p.2,MIMAT0005559,28,33,27,21,18,27,32,37,24,22,,
Endogenous,mcmv-miR-m21-1,MIMAT0005540,100,65,68,29,89,84,76,92,81,110,,
Endogenous,mcmv-miR-m22-1,MIMAT0005541,40,37,35,18,43,45,15,27,39,39,,
Endogenous,mcmv-miR-m59-1,MIMAT0005548,33,19,31,17,17,17,15,21,24,52,,
Endogenous,mcmv-miR-m59-2,MIMAT0005549,94,80,82,40,77,78,83,93,109,102,,
Endogenous,mcmv-miR-m88-1,MIMAT0005552,138,76,84,30,100,76,94,112,107,110,,
Endogenous,mghv-miR-M1-1,MIMAT0001564,70,71,67,40,58,77,72,69,82,87,,
Endogenous,mghv-miR-M1-2,MIMAT0001565,116,100,111,51,84,97,107,99,132,119,,
Endogenous,mghv-miR-M1-3,MIMAT0001566,80,64,63,36,67,68,57,76,70,95,,
Endogenous,mghv-miR-M1-4,MIMAT0001567,100,88,115,39,113,96,105,116,126,111,,
Endogenous,mghv-miR-M1-5,MIMAT0001568,137,84,80,48,83,92,80,99,127,128,,
Endogenous,mghv-miR-M1-6,MIMAT0001569,26,22,30,19,19,20,23,31,12,34,,
Endogenous,mghv-miR-M1-7-3p,MIMAT0001571,128,71,80,30,90,94,86,102,96,112,,
Endogenous,mghv-miR-M1-7-5p,MIMAT0001570,103,77,90,35,93,84,79,90,83,99,,
Endogenous,mghv-miR-M1-8,MIMAT0001572,123,94,120,37,111,95,120,107,116,113,,
Endogenous,mghv-miR-M1-9,MIMAT0001573,7,10,22,12,12,16,13,12,18,19,,
Endogenous,mmu-let-7a,MIMAT0000521,18715,17698,11488,11218,24409,10373,12640,16474,19704,23236,,
Endogenous,mmu-let-7b,MIMAT0000522,18925,16446,11483,11530,22105,11181,9201,18338,17211,16198,,
Endogenous,mmu-let-7c,MIMAT0000523,14272,15788,8026,8196,19893,7323,7714,13642,15453,14941,,
Endogenous,mmu-let-7d,MIMAT0000383,14119,9748,10316,10471,13245,9333,11553,11684,11701,15468,,
Endogenous,mmu-let-7e,MIMAT0000524,2006,1507,1340,1072,2074,1108,1312,1866,1709,1714,,
Endogenous,mmu-let-7f,MIMAT0000525,6023,6942,4213,4179,6105,3325,3998,5123,6297,8417,,
Endogenous,mmu-let-7g,MIMAT0000121,23534,18266,15836,16381,24783,14103,19107,18716,19528,24799,,
Endogenous,mmu-let-7i,MIMAT0000122,12025,8502,7811,7350,11878,7152,7144,10060,9904,11910,,
Endogenous,mmu-miR-1,MIMAT0000123,67995,28522,39763,34092,33998,30673,32172,38495,51380,125173,,
Endogenous,mmu-miR-100,MIMAT0000655,1715,1609,1330,1108,1920,1014,1016,1476,1380,1595,,
Endogenous,mmu-miR-101a,MIMAT0000133,214,218,138,142,189,128,126,132,183,331,,
Endogenous,mmu-miR-101b,MIMAT0000616,231,207,138,88,221,145,140,170,178,254,,
Endogenous,mmu-miR-103,MIMAT0000546,657,489,500,315,692,474,416,536,602,683,,
Endogenous,mmu-miR-105,MIMAT0004856,124,100,113,39,116,101,112,123,132,120,,
Endogenous,mmu-miR-106a+mmu-miR-17,MIMAT0000385,1732,1245,1236,916,1932,1055,1260,1359,1283,1677,,
Endogenous,mmu-miR-106b,MIMAT0000386,507,389,293,269,531,251,282,373,379,510,,
Endogenous,mmu-miR-107,MIMAT0000647,179,131,124,107,155,116,103,157,153,186,,
Endogenous,mmu-miR-10a,MIMAT0000648,116,92,82,65,136,75,90,85,115,103,,
Endogenous,mmu-miR-10b,MIMAT0000208,328,292,243,196,313,212,383,311,299,356,,
Endogenous,mmu-miR-1186,MIMAT0005836,50,35,39,19,32,36,31,32,28,39,,
Endogenous,mmu-miR-1186b,MIMAT0015644,53,47,39,27,36,47,48,45,42,45,,
Endogenous,mmu-miR-1187,MIMAT0005837,131,98,103,35,102,120,103,109,114,119,,
Endogenous,mmu-miR-1188,MIMAT0005843,92,76,87,21,76,80,88,83,99,93,,
Endogenous,mmu-miR-1190,MIMAT0005847,114,71,92,40,105,105,104,101,123,126,,
Endogenous,mmu-miR-1191,MIMAT0005849,35,27,27,13,35,29,29,34,25,34,,
Endogenous,mmu-miR-1192,MIMAT0005850,18,13,12,10,15,8,11,20,16,8,,
Endogenous,mmu-miR-1193,MIMAT0005851,38,32,46,30,34,34,34,39,35,61,,
Endogenous,mmu-miR-1194,MIMAT0005852,101,78,80,41,90,70,65,88,75,114,,
Endogenous,mmu-miR-1195,MIMAT0005856,79,71,82,28,74,79,82,76,88,88,,
Endogenous,mmu-miR-1196,MIMAT0005857,115,87,101,48,95,70,102,99,100,123,,
Endogenous,mmu-miR-1197,MIMAT0005858,71,51,61,24,83,71,68,79,85,95,,
Endogenous,mmu-miR-1198,MIMAT0005859,138,126,144,145,148,106,136,132,134,193,,
Endogenous,mmu-miR-1199,MIMAT0005860,21,34,24,21,26,28,23,19,22,25,,
Endogenous,mmu-miR-122,MIMAT0000246,45,25,34,23,37,32,73,32,39,63,,
Endogenous,mmu-miR-1224,MIMAT0005460,1559,636,865,977,749,771,3023,1032,1217,2348,,
Endogenous,mmu-miR-124,MIMAT0000134,185,151,157,75,138,114,332,150,160,196,,
Endogenous,mmu-miR-125a-3p,MIMAT0004528,129,126,99,52,108,98,135,127,133,132,,
Endogenous,mmu-miR-125a-5p,MIMAT0000135,3981,3190,3157,2544,4435,2541,2832,4039,3775,3017,,
Endogenous,mmu-miR-125b-3p,MIMAT0004669,93,71,61,27,63,65,72,61,81,68,,
Endogenous,mmu-miR-125b-5p,MIMAT0000136,16934,11707,14504,10058,16444,10961,11457,14258,12543,12301,,
Endogenous,mmu-miR-126-3p,MIMAT0000138,28910,21742,20620,20594,18664,19396,25730,23060,23608,32600,,
Endogenous,mmu-miR-126-5p,MIMAT0000137,1804,1706,1231,1238,1611,1007,1301,1368,1712,2675,,
Endogenous,mmu-miR-127,MIMAT0000139,106,117,70,46,100,53,65,104,102,99,,
Endogenous,mmu-miR-1274a,MIMAT0009445,81,69,62,37,83,67,27,74,77,123,,
Endogenous,mmu-miR-128,MIMAT0000140,151,111,85,83,112,110,118,112,127,213,,
Endogenous,mmu-miR-129-3p,MIMAT0000544,139,97,110,44,108,115,111,136,116,114,,
Endogenous,mmu-miR-129-5p,MIMAT0000209,165,103,107,40,115,119,115,100,102,106,,
Endogenous,mmu-miR-1306,MIMAT0009411,86,64,69,21,72,70,65,76,83,85,,
Endogenous,mmu-miR-130a,MIMAT0000141,1491,1066,1225,657,1065,848,894,1216,1026,1336,,
Endogenous,mmu-miR-130b,MIMAT0000387,142,115,116,70,118,116,92,116,122,101,,
Endogenous,mmu-miR-132,MIMAT0000144,344,262,214,177,300,212,349,288,287,318,,
Endogenous,mmu-miR-133a,MIMAT0000145,18447,10221,15402,17363,9746,12395,15677,12235,14907,30497,,
Endogenous,mmu-miR-133b,MIMAT0000769,587,314,395,386,374,287,376,398,470,1006,,
Endogenous,mmu-miR-134,MIMAT0000146,138,93,94,50,99,86,86,127,115,105,,
Endogenous,mmu-miR-135a,MIMAT0000147,273,214,217,122,227,208,307,248,248,288,,
Endogenous,mmu-miR-135b,MIMAT0000612,36,50,33,37,33,27,30,41,28,44,,
Endogenous,mmu-miR-136,MIMAT0000148,1178,933,855,724,1102,697,900,989,919,1023,,
Endogenous,mmu-miR-137,MIMAT0000149,41,26,21,18,17,20,28,30,31,38,,
Endogenous,mmu-miR-138,MIMAT0000150,38,34,18,17,19,31,30,24,18,30,,
Endogenous,mmu-miR-139-3p,MIMAT0004662,35,29,24,15,29,22,33,29,35,31,,
Endogenous,mmu-miR-139-5p,MIMAT0000656,265,179,223,203,175,187,199,192,220,307,,
Endogenous,mmu-miR-140,MIMAT0000151,324,212,227,145,217,200,133,282,237,279,,
Endogenous,mmu-miR-141,MIMAT0000153,343,285,319,176,307,223,262,256,282,267,,
Endogenous,mmu-miR-142-3p,MIMAT0000155,2385,2088,1392,1543,3538,1841,1604,1730,2273,2009,,
Endogenous,mmu-miR-142-5p,MIMAT0000154,299,252,258,207,222,285,236,297,324,331,,
Endogenous,mmu-miR-143,MIMAT0000247,1674,1283,1208,906,1332,972,1244,1355,1285,1953,,
Endogenous,mmu-miR-144,MIMAT0000156,1997,1627,1071,1349,2269,916,708,1149,2010,2246,,
Endogenous,mmu-miR-145,MIMAT0000157,2983,2700,1943,1667,2495,1885,2209,2655,2741,3437,,
Endogenous,mmu-miR-146a,MIMAT0000158,939,941,659,582,1326,693,394,1024,1056,848,,
Endogenous,mmu-miR-146b,MIMAT0003475,109,103,104,41,88,92,85,91,89,109,,
Endogenous,mmu-miR-147,MIMAT0004857,21,27,27,19,24,36,36,27,27,24,,
Endogenous,mmu-miR-148a,MIMAT0000516,11972,9503,7627,5314,12512,6321,6806,10803,10096,7754,,
Endogenous,mmu-miR-148b,MIMAT0000580,464,380,365,273,422,289,280,403,429,473,,
Endogenous,mmu-miR-149,MIMAT0000159,464,291,363,307,352,296,269,334,380,516,,
Endogenous,mmu-miR-150,MIMAT0000160,2111,1744,1532,1891,1816,1810,2302,1746,2377,2488,,
Endogenous,mmu-miR-151-3p,MIMAT0000161,88,65,62,55,75,56,52,59,68,77,,
Endogenous,mmu-miR-151-5p,MIMAT0004536,1845,1235,1413,1108,1622,1183,1396,1421,1409,1832,,
Endogenous,mmu-miR-152,MIMAT0000162,1144,714,870,478,1015,626,538,1044,928,863,,
Endogenous,mmu-miR-153,MIMAT0000163,19,16,13,4,13,8,17,18,18,23,,
Endogenous,mmu-miR-154,MIMAT0000164,110,109,95,58,99,101,98,115,119,118,,
Endogenous,mmu-miR-155,MIMAT0000165,1,1,1,1,1,1,1,1,1,1,,
Endogenous,mmu-miR-15a,MIMAT0000526,3910,2961,3125,2684,4013,2641,3304,3083,3141,3777,,
Endogenous,mmu-miR-15b,MIMAT0000124,3521,2833,2394,2490,4542,2185,2728,2869,3294,2977,,
Endogenous,mmu-miR-16,MIMAT0000527,14041,7691,9286,6679,12721,8089,9003,10726,10639,14420,,
Endogenous,mmu-miR-181a,MIMAT0000210,6045,4982,5325,3514,7394,3294,3451,5929,5842,3864,,
Endogenous,mmu-miR-181b+mmu-miR-181d,MIMAT0000673,95,61,60,26,78,68,62,83,91,100,,
Endogenous,mmu-miR-181c,MIMAT0000674,210,212,173,88,215,137,174,194,182,192,,
Endogenous,mmu-miR-182,MIMAT0000211,37,29,37,14,33,21,33,37,37,37,,
Endogenous,mmu-miR-183,MIMAT0000212,318,265,581,154,367,208,232,233,344,302,,
Endogenous,mmu-miR-1839-3p,MIMAT0009457,28,23,18,12,18,28,20,19,18,28,,
Endogenous,mmu-miR-1839-5p,MIMAT0009456,139,98,90,80,127,92,93,121,138,139,,
Endogenous,mmu-miR-184,MIMAT0000213,78,67,75,27,67,93,77,76,84,92,,
Endogenous,mmu-miR-185,MIMAT0000214,193,88,123,80,123,115,139,122,131,187,,
Endogenous,mmu-miR-186,MIMAT0000215,54,37,51,12,39,39,52,48,59,75,,
Endogenous,mmu-miR-187,MIMAT0000216,79,99,86,34,91,88,112,113,106,117,,
Endogenous,mmu-miR-188-3p,MIMAT0004541,29,25,22,18,22,26,21,30,37,24,,
Endogenous,mmu-miR-188-5p,MIMAT0000217,48,48,35,19,41,35,40,32,34,33,,
Endogenous,mmu-miR-1892,MIMAT0007871,105,82,88,42,102,102,95,100,96,95,,
Endogenous,mmu-miR-1893,MIMAT0007879,105,87,109,33,94,94,97,90,103,96,,
Endogenous,mmu-miR-1894-3p,MIMAT0007878,34,22,22,19,22,26,18,31,34,30,,
Endogenous,mmu-miR-1894-5p,MIMAT0007877,63,51,55,18,35,37,43,48,58,66,,
Endogenous,mmu-miR-1895,MIMAT0007867,87,76,76,29,69,85,75,114,107,101,,
Endogenous,mmu-miR-1896,MIMAT0007873,42,38,23,19,22,27,16,26,28,29,,
Endogenous,mmu-miR-1897-3p,MIMAT0007865,22,16,17,11,23,15,14,11,14,21,,
Endogenous,mmu-miR-1898,MIMAT0007875,97,68,85,28,84,79,63,90,89,92,,
Endogenous,mmu-miR-1899,MIMAT0007869,46,46,35,24,32,29,30,39,36,48,,
Endogenous,mmu-miR-18a,MIMAT0000528,41,37,41,25,33,42,32,35,34,42,,
Endogenous,mmu-miR-18b,MIMAT0004858,29,23,15,14,18,16,25,25,25,28,,
Endogenous,mmu-miR-190,MIMAT0000220,318,226,245,220,266,216,254,252,274,406,,
Endogenous,mmu-miR-1900,MIMAT0007870,55,70,73,28,70,58,59,58,73,76,,
Endogenous,mmu-miR-1901,MIMAT0007880,81,59,73,25,62,75,50,63,70,61,,
Endogenous,mmu-miR-1902,MIMAT0007863,232,338,124,145,400,99,142,207,265,447,,
Endogenous,mmu-miR-1903,MIMAT0007868,93,84,82,31,89,80,90,103,116,117,,
Endogenous,mmu-miR-1904,MIMAT0007874,74,51,64,22,67,63,56,70,62,68,,
Endogenous,mmu-miR-1905,MIMAT0007866,22,16,10,8,8,16,7,18,6,24,,
Endogenous,mmu-miR-1906,MIMAT0007872,63,44,52,18,64,58,60,58,59,68,,
Endogenous,mmu-miR-1907,MIMAT0007876,20,35,13,19,19,20,24,18,22,22,,
Endogenous,mmu-miR-190b,MIMAT0004852,34,26,29,10,26,31,20,31,30,36,,
Endogenous,mmu-miR-191,MIMAT0000221,310,227,270,165,283,221,208,227,261,331,,
Endogenous,mmu-miR-192,MIMAT0000517,134,106,90,38,100,85,102,99,109,114,,
Endogenous,mmu-miR-1927,MIMAT0009390,21,22,16,6,20,11,17,16,20,20,,
Endogenous,mmu-miR-1928,MIMAT0009391,105,107,98,41,94,115,112,116,113,137,,
Endogenous,mmu-miR-1929,MIMAT0009392,111,82,115,41,91,114,110,116,123,116,,
Endogenous,mmu-miR-193,MIMAT0000223,64,80,84,44,62,75,58,60,65,86,,
Endogenous,mmu-miR-1930,MIMAT0009393,28,21,20,14,20,27,16,21,17,23,,
Endogenous,mmu-miR-1931,MIMAT0009394,26,21,28,12,23,26,26,23,23,31,,
Endogenous,mmu-miR-1932,MIMAT0009395,13,19,19,9,17,19,12,17,18,22,,
Endogenous,mmu-miR-1933-3p,MIMAT0009397,38,28,24,17,17,30,29,26,27,33,,
